key,Name,Address,Price,Opened,Died
"Meet Up Restaurant_2251 Las Positas Road, Santa Barbara",Meet Up Restaurant,"2251 Las Positas Road, Santa Barbara",NA,2019-09,NA
Jeannine’s Bakery - Goleta_7060 Hollister Ave. Goleta,Jeannine’s Bakery - Goleta,7060 Hollister Ave. Goleta,NA,2019-09,NA
"Sizzling Lunch_6533 Trigo Road, Isla Vista",Sizzling Lunch,"6533 Trigo Road, Isla Vista",NA,2019-09,NA
"La Michoacána Premier_21 N. Milpas St, Santa Barbara",La Michoacána Premier,"21 N. Milpas St, Santa Barbara",NA,2019-08,NA
"Low Pigeon Coffee Roasters_401 East Haley St, Santa Barbara",Low Pigeon Coffee Roasters,"401 East Haley St, Santa Barbara",NA,2019-08,NA
"Embermill_1031 State St, Santa Barbara",Embermill,"1031 State St, Santa Barbara",NA,2019-08,NA
"Corazon Cocina - Funk Zone_214 State Street, Santa Barbara",Corazon Cocina - Funk Zone,"214 State Street, Santa Barbara",NA,2019-07,NA
"Oppi’z Bistro and Natural Pizza_1026 State Street, Santa Barbara",Oppi’z Bistro and Natural Pizza,"1026 State Street, Santa Barbara",NA,2019-07,NA
"Challwa Peruvian Cuisine_724 East Haley Street, Santa Barbara",Challwa Peruvian Cuisine,"724 East Haley Street, Santa Barbara",NA,2019-07,NA
"Estilo Jalisco Grilled Tacos_209 S Milpas St, Santa Barbara",Estilo Jalisco Grilled Tacos,"209 S Milpas St, Santa Barbara",NA,2019-07,NA
"Apna Indian Cuisine_718 State Street, Santa Barbara",Apna Indian Cuisine,"718 State Street, Santa Barbara",NA,2019-07,NA
"Locale_38 W. Victoria St, Santa Barbara",Locale,"38 W. Victoria St, Santa Barbara",NA,2019-06,NA
"La Cocina_7 East Anapamu Street, Santa Barbara",La Cocina,"7 East Anapamu Street, Santa Barbara",NA,2019-06,NA
"Fala Bar_38 W. Victoria St, Santa Barbara",Fala Bar,"38 W. Victoria St, Santa Barbara",NA,2019-06,NA
"Mesa Burger_7010 Marketplace Dr, Goleta",Mesa Burger,"7010 Marketplace Dr, Goleta",NA,2019-05,NA
"Caje - Downtown_416 East Haley St, Santa Barbara",Caje - Downtown,"416 East Haley St, Santa Barbara",NA,2019-05,NA
"Merci Montecito_1028 Coast Village Road, Montecito",Merci Montecito,"1028 Coast Village Road, Montecito",NA,2019-05,NA
"Caffe Luxxe_1028 Coast Village Road, Montecito",Caffe Luxxe,"1028 Coast Village Road, Montecito",NA,2019-05,NA
"Ike's Love & Sandwiches_1936 State St, Santa Barbara",Ike's Love & Sandwiches,"1936 State St, Santa Barbara",NA,2019-05,NA
"Hanamura Cantonese Dim Sum_901 Embarcadero del Mar, Isla Vista",Hanamura Cantonese Dim Sum,"901 Embarcadero del Mar, Isla Vista",NA,2019-04,NA
"Cubaneo_418 State St, Santa Barbara",Cubaneo,"418 State St, Santa Barbara",NA,2019-04,NA
"Alito’s_509 State St, Santa Barbara",Alito’s,"509 State St, Santa Barbara",NA,2019-04,2019-08
"Caruso’s at Miramar_1759 South Jameson Lane, Montecito",Caruso’s at Miramar,"1759 South Jameson Lane, Montecito",NA,2019-04,NA
"Malibu Farm at Miramar_1759 South Jameson Lane, Montecito",Malibu Farm at Miramar,"1759 South Jameson Lane, Montecito",NA,2019-04,NA
"Sushi Bar at Montecito Inn_1295 Coast Village Rd, Montecito",Sushi Bar at Montecito Inn,"1295 Coast Village Rd, Montecito",NA,2019-04,NA
The Little Things Bakery_2018 Cliff Dr. Santa Barbara,The Little Things Bakery,2018 Cliff Dr. Santa Barbara,NA,2019-03,NA
"Bossie’s Kitchen_901 North Milpas St, Santa Barbara",Bossie’s Kitchen,"901 North Milpas St, Santa Barbara",NA,2019-02,NA
"Mala Town_6555 Pardall Road, Isla Vista",Mala Town,"6555 Pardall Road, Isla Vista",NA,2019-02,NA
"Choppa Poke - Downtown_716 State St, Santa Barbara",Choppa Poke - Downtown,"716 State St, Santa Barbara",NA,2019-01,NA
Soul Cal Smokehouse_38 West Victoria St. Santa Barbara,Soul Cal Smokehouse,38 West Victoria St. Santa Barbara,NA,2019-01,2019-10
Sup and Jus_7060 Hollister Ave. Goleta,Sup and Jus,7060 Hollister Ave. Goleta,NA,2019-01,2020-01
"Masala Spice_5796 Calle Real, Goleta",Masala Spice,"5796 Calle Real, Goleta",NA,2019-01,NA
"California Tacos and Taproom_956 Embarcadero Del Norte, Isla Vista",California Tacos and Taproom,"956 Embarcadero Del Norte, Isla Vista",NA,2019-01,NA
"Rockfire Grill_6583 Pardall Road, Isla Vista",Rockfire Grill,"6583 Pardall Road, Isla Vista",NA,2018-12,NA
"Cafe Ana_1201 Anacapa St, Santa Barbara",Cafe Ana,"1201 Anacapa St, Santa Barbara",NA,2018-12,NA
"Jersey Mike’s Subs - Carpinteria_1054 Casitas Pass Road, Carpinteria",Jersey Mike’s Subs - Carpinteria,"1054 Casitas Pass Road, Carpinteria",NA,2018-12,NA
"Online Pizza Company_5756 Calle Real, Goleta",Online Pizza Company,"5756 Calle Real, Goleta",NA,2018-12,NA
"Khao Kaeng_1187 Coast Village Rd, Montecito",Khao Kaeng,"1187 Coast Village Rd, Montecito",NA,2018-11,2019-12
"Buena Onda - State_1131 State St, Santa Barbara",Buena Onda - State,"1131 State St, Santa Barbara",NA,2018-11,NA
"Bettina_1014 Coast Village Rd, Montecito",Bettina,"1014 Coast Village Rd, Montecito",NA,2018-10,NA
"Uniboil_5599 Hollister Avenue, Goleta",Uniboil,"5599 Hollister Avenue, Goleta",NA,2018-10,NA
"Tyger Tyger_121 E. Yanonali St, Santa Barbara",Tyger Tyger,"121 E. Yanonali St, Santa Barbara",NA,2018-10,NA
"Monkeyshine Ice Cream_121 E. Yanonali St, Santa Barbara",Monkeyshine Ice Cream,"121 E. Yanonali St, Santa Barbara",NA,2018-10,NA
"Dart Coffee_121 E. Yanonali St, Santa Barbara",Dart Coffee,"121 E. Yanonali St, Santa Barbara",NA,2018-10,NA
"Vicenta’s_6920 Marketplace Dr, Goleta",Vicenta’s,"6920 Marketplace Dr, Goleta",NA,2018-10,2019-09
"ParadICE Hawaiian Shave Ice_11 W. De La Guerra, Santa Barbara",ParadICE Hawaiian Shave Ice,"11 W. De La Guerra, Santa Barbara",NA,2018-10,NA
"Chicken in a Barrel BBQ_5711 Calle Real, Goleta",Chicken in a Barrel BBQ,"5711 Calle Real, Goleta",NA,2018-10,NA
"Los Arroyos - Solvang_1992 Old Mission Drive, Solvang",Los Arroyos - Solvang,"1992 Old Mission Drive, Solvang",NA,2018-09,NA
"Lighthouse Coffee_1819 Cliff Dr, Santa Barbara",Lighthouse Coffee,"1819 Cliff Dr, Santa Barbara",NA,2018-09,NA
"Hanamura_901 Embarcadero del Mar, Isla Vista",Hanamura,"901 Embarcadero del Mar, Isla Vista",NA,2018-09,2018-12
"One Piece_6555 Pardall Rd, Isla Vista",One Piece,"6555 Pardall Rd, Isla Vista",NA,2018-09,2018-12
"Mezza Thyme_20 East Cota St, Santa Barbara",Mezza Thyme,"20 East Cota St, Santa Barbara",NA,2018-09,NA
Crush Tasting Room & Kitchen_432 E. Haley St Santa Barbara,Crush Tasting Room & Kitchen,432 E. Haley St Santa Barbara,NA,2018-09,NA
"La Guerrerita_5698 Hollister Ave, Goleta",La Guerrerita,"5698 Hollister Ave, Goleta",NA,2018-09,NA
"The Middle Child_18 E. Cota St, Santa Barbara",The Middle Child,"18 E. Cota St, Santa Barbara",NA,2018-08,NA
"Night Lizard Brewing Company_607 State St, Santa Barbara",Night Lizard Brewing Company,"607 State St, Santa Barbara",NA,2018-08,NA
"Due Lune Ristorante and Bar_1 State St, Santa Barbara",Due Lune Ristorante and Bar,"1 State St, Santa Barbara",NA,2018-08,2020-01
"Renaud’s Patisserie & Bistro - Montecito_1187 Coast Village Rd, Montecito",Renaud’s Patisserie & Bistro - Montecito,"1187 Coast Village Rd, Montecito",NA,2018-08,NA
"Creamistry_935 State St, Santa Barbara",Creamistry,"935 State St, Santa Barbara",NA,2018-07,NA
"McConnell’s Fine Ice Creams - Lower State_120 State St, Santa Barbara",McConnell’s Fine Ice Creams - Lower State,"120 State St, Santa Barbara",NA,2018-07,NA
"Old Town Coffee_5877 Hollister Ave, Goleta",Old Town Coffee,"5877 Hollister Ave, Goleta",NA,2018-07,NA
"The Monarch_1295 Coast Village Rd, Santa Barbara",The Monarch,"1295 Coast Village Rd, Santa Barbara",NA,2018-07,2019-10
"Old Town Coffee_5877 Hollister Ave, Goleta",Old Town Coffee,"5877 Hollister Ave, Goleta",NA,2018-07,NA
"Lilsey’s Wood-Fired Pizza_2840 De La Vina St, Santa Barbara",Lilsey’s Wood-Fired Pizza,"2840 De La Vina St, Santa Barbara",NA,2018-06,NA
"Mizza_1112 State St, Santa Barbara",Mizza,"1112 State St, Santa Barbara",NA,2018-06,NA
"Ca’Dario Pasta Veloce_38 W. Victoria St, Santa Barbara",Ca’Dario Pasta Veloce,"38 W. Victoria St, Santa Barbara",NA,2018-06,2019-05
"Mollie's_1218 State St, Santa Barbara",Mollie's,"1218 State St, Santa Barbara",NA,2018-06,NA
"Sunshine Cafe_3514 State St, Santa Barbara",Sunshine Cafe,"3514 State St, Santa Barbara",NA,2018-06,NA
"Locavore Kitchen_21 West Victoria St, Santa Barbara",Locavore Kitchen,"21 West Victoria St, Santa Barbara",NA,2018-06,2018-08
"212 Hot Pot_6533 Trigo Rd, Isa Vista",212 Hot Pot,"6533 Trigo Rd, Isa Vista",NA,2018-06,NA
"Teddy’s by the Sea_5096 Carpinteria Ave, Carpinteria",Teddy’s by the Sea,"5096 Carpinteria Ave, Carpinteria",NA,2018-06,NA
"Vegan Green GO_3613 State St, Santa Barbara",Vegan Green GO,"3613 State St, Santa Barbara",NA,2018-05,NA
"Starbucks - Albertsons_7127 Hollister Ave, Goleta",Starbucks - Albertsons,"7127 Hollister Ave, Goleta",NA,2018-05,NA
"Roost_1305 State St, Santa Barbara",Roost,"1305 State St, Santa Barbara",NA,2018-05,NA
"New Si Chuan Garden_2840 De la Vina St, Santa Barbara",New Si Chuan Garden,"2840 De la Vina St, Santa Barbara",NA,2018-04,NA
"Frankland’s Crab & Co._1295 Coast Village Rd, Santa Barbara",Frankland’s Crab & Co.,"1295 Coast Village Rd, Santa Barbara",NA,2018-04,2018-08
"Finney’s Crafthouse & Kitchen_35 State St, Santa Barbara",Finney’s Crafthouse & Kitchen,"35 State St, Santa Barbara",NA,2018-04,NA
"Wildwood Museum Café_1130 State St, Santa Barbara",Wildwood Museum Café,"1130 State St, Santa Barbara",NA,2018-03,2018-05
"Bluewater Grill_15 East Cabrillo Blvd, Santa Barbara",Bluewater Grill,"15 East Cabrillo Blvd, Santa Barbara",NA,2018-03,NA
"Tacos Pipeye_217 N. Milpas St, Santa Barbara",Tacos Pipeye,"217 N. Milpas St, Santa Barbara",NA,2018-03,NA
Choppa Ice Cream_7060 Hollister Avenue in Goleta,Choppa Ice Cream,7060 Hollister Avenue in Goleta,NA,2018-03,NA
"Bibi Ji_734 State St, Santa Barbara",Bibi Ji,"734 State St, Santa Barbara",NA,2018-02,NA
"Grilled Cheese Truck_956 Embarcadero Del Norte, Isla Vista",Grilled Cheese Truck,"956 Embarcadero Del Norte, Isla Vista",NA,2018-02,2018-06
"PokeCeviche - Downtown_313 Paseo Nuevo, Santa Barbara",PokeCeviche - Downtown,"313 Paseo Nuevo, Santa Barbara",NA,2018-02,NA
"Islands_3825 State St, Santa Barbara",Islands,"3825 State St, Santa Barbara",NA,2018-02,NA
"Taco Tuyo_724 E. Haley St, Santa barbara",Taco Tuyo,"724 E. Haley St, Santa barbara",NA,2018-01,2018-07
"Ca’ Dario Cucina Italiana_250 Storke Rd, Goleta",Ca’ Dario Cucina Italiana,"250 Storke Rd, Goleta",NA,2018-01,NA
"Smithy_7 E. Anapamu St., Santa Barbara",Smithy,"7 E. Anapamu St., Santa Barbara",NA,2017-12,2019-05
"Mattei’s Tavern_2350 Railway Ave, Los Olivos",Mattei’s Tavern,"2350 Railway Ave, Los Olivos",$20+,2017-12,2018-05
"Miso Hungry_134 E Canon Perdido St, Santa Barbara,",Miso Hungry,"134 E Canon Perdido St, Santa Barbara,",NA,2017-11,2018-08
"Ca’Dario Pizza Veloce_38 W. Victoria St, Santa Barbara",Ca’Dario Pizza Veloce,"38 W. Victoria St, Santa Barbara",NA,2017-11,NA
"The Deck_6601 Hollister Ave, Goleta",The Deck,"6601 Hollister Ave, Goleta",NA,2017-11,NA
"Hilton Garden Inn_6878 Hollister Ave, Goleta",Hilton Garden Inn,"6878 Hollister Ave, Goleta",NA,2017-11,NA
"Mosto_7 W. Haley St, Santa Barbara",Mosto,"7 W. Haley St, Santa Barbara",NA,2017-10,NA
"Cristino’s Bakery_170 Aero Camino, Goleta",Cristino’s Bakery,"170 Aero Camino, Goleta",NA,2017-10,NA
"Lao Ma Tou_511 State St, Santa Barbara",Lao Ma Tou,"511 State St, Santa Barbara",NA,2017-10,NA
"Poki Rito_6530 Seville Rd, Isla Vista",Poki Rito,"6530 Seville Rd, Isla Vista",NA,2017-10,NA
"Oat Bakery_5 West Haley St, Santa Barbara",Oat Bakery,"5 West Haley St, Santa Barbara",NA,2017-10,NA
"PokeCeviche - Isla Vista_901 Embarcadero del Mar, Isla Vista",PokeCeviche - Isla Vista,"901 Embarcadero del Mar, Isla Vista",NA,2017-10,NA
"Kyle’s Kitchen - Hollister_7060 Hollister Ave, Goleta",Kyle’s Kitchen - Hollister,"7060 Hollister Ave, Goleta",NA,2017-10,NA
"Oliver's_1198 Coast Village Rd, Montecito",Oliver's,"1198 Coast Village Rd, Montecito",NA,2017-09,NA
"Oat Bakery_5 W. Haley St, Santa Barbara",Oat Bakery,"5 W. Haley St, Santa Barbara",NA,2017-09,NA
"Sunny Korean Restaurant_532 State St, Santa Barbara",Sunny Korean Restaurant,"532 State St, Santa Barbara",NA,2017-09,2018-11
"Dave's Dogs_149 S. Turnpike Rd, Goleta",Dave's Dogs,"149 S. Turnpike Rd, Goleta",NA,2017-09,NA
"Blackbird_36 State St, Santa Barbara",Blackbird,"36 State St, Santa Barbara",NA,2017-09,NA
"Basil's_608 Anacapa St, Santa Barbara",Basil's,"608 Anacapa St, Santa Barbara",NA,2017-09,2018-10
"Goat Tree_36 State St, Santa Barbara",Goat Tree,"36 State St, Santa Barbara",NA,2017-09,NA
"Craft Ramen_436 State St, Santa Barbara",Craft Ramen,"436 State St, Santa Barbara",NA,2017-09,NA
"Worker Bee Café - Goleta_5599 Hollister Ave, Goleta",Worker Bee Café - Goleta,"5599 Hollister Ave, Goleta",NA,2017-09,2018-06
"Handlebar Coffee - De la Vina_2720 De la Vina St, Santa Barbara",Handlebar Coffee - De la Vina,"2720 De la Vina St, Santa Barbara",NA,2017-09,NA
"Luna Grill_3925 State St, Santa Barbara",Luna Grill,"3925 State St, Santa Barbara",NA,2017-09,NA
"Guichos Eatery_901 Linden Ave, Carpinteria",Guichos Eatery,"901 Linden Ave, Carpinteria",NA,2017-09,NA
"Rudy's - downtown_138 E.Canon Perdido St, Santa Barbara",Rudy's - downtown,"138 E.Canon Perdido St, Santa Barbara",NA,2017-09,NA
Starbucks - UCSB_At the UCen on the UCSB Campus,Starbucks - UCSB,At the UCen on the UCSB Campus,NA,2017-08,NA
"Urkeb_413 State St, Santa Barbara",Urkeb,"413 State St, Santa Barbara",NA,2017-08,2018-09
"Dumpling King_966 Embarcadero Del Mar, Isla Vista",Dumpling King,"966 Embarcadero Del Mar, Isla Vista",NA,2017-08,NA
"Mundos_901 N. Milpas St, Santa Barbara",Mundos,"901 N. Milpas St, Santa Barbara",NA,2017-08,2018-09
"Sharky’s Woodfired Mexican Grill_7060 Hollister Ave, Goleta",Sharky’s Woodfired Mexican Grill,"7060 Hollister Ave, Goleta",NA,2017-07,NA
"Rincon Brewery - Isla Vista_6583 Pardall Rd, Isla Vista",Rincon Brewery - Isla Vista,"6583 Pardall Rd, Isla Vista",NA,2017-07,2018-06
"Cajun Kitchen - Calle Real_6025 Calle Real, Goleta",Cajun Kitchen - Calle Real,"6025 Calle Real, Goleta",NA,2017-07,NA
"Rusty's Pizza - Hollister_4880 Hollister Ave, Goleta",Rusty's Pizza - Hollister,"4880 Hollister Ave, Goleta",NA,2017-07,NA
"Shalhoob Meat Co. Patio_220 Gray Ave, Santa Barbara",Shalhoob Meat Co. Patio,"220 Gray Ave, Santa Barbara",NA,2017-07,NA
"La Hacienda_298 Pine Ave, Goleta",La Hacienda,"298 Pine Ave, Goleta",NA,2017-06,NA
"Los Arroyos - Goleta_5764 Calle Real, Goleta",Los Arroyos - Goleta,"5764 Calle Real, Goleta",NA,2017-06,NA
"Goa Taco_718 State St, Santa Barbara",Goa Taco,"718 State St, Santa Barbara",NA,2017-06,2019-05
"Bear and Star_2860 Grand Ave, Los Olivos",Bear and Star,"2860 Grand Ave, Los Olivos",NA,2017-05,2019-12
"Sun Sushi_3631 State St, Santa Barbara",Sun Sushi,"3631 State St, Santa Barbara",NA,2017-05,NA
"Santo Mezcal_119 State St, Santa Barbara",Santo Mezcal,"119 State St, Santa Barbara",NA,2017-05,NA
"Grocery Outlet Bargain Market_2840 De la Vina St, Santa Barbara",Grocery Outlet Bargain Market,"2840 De la Vina St, Santa Barbara",NA,2017-04,NA
"Meun Fan Thai Café - Goleta_5664 Calle Real, Goleta",Meun Fan Thai Café - Goleta,"5664 Calle Real, Goleta",NA,2017-04,NA
"Kyle's Kitchen - Downtown_791 Chapala St, Santa Barbara",Kyle's Kitchen - Downtown,"791 Chapala St, Santa Barbara",NA,2017-04,NA
"Creekside Restaurant and bar_4444 Hollister Ave, Goleta",Creekside Restaurant and bar,"4444 Hollister Ave, Goleta",NA,2017-04,NA
"Foxtail Kitchen and Bar_14 E. Cota St, Santa Barbara",Foxtail Kitchen and Bar,"14 E. Cota St, Santa Barbara",NA,2017-04,NA
"Big Eye Raw Bar_38 W. Victoria St, Santa Barbara",Big Eye Raw Bar,"38 W. Victoria St, Santa Barbara",NA,2017-04,2018-12
"Gimeal Café_5892 Hollister Ave, Goleta",Gimeal Café,"5892 Hollister Ave, Goleta",NA,2017-03,2019-08
"Petros Kafe - Solvang_487 Atterdag Rd, Solvang",Petros Kafe - Solvang,"487 Atterdag Rd, Solvang",NA,2017-03,NA
"Lao Wang_6530 Pardall Rd, Isla Vista",Lao Wang,"6530 Pardall Rd, Isla Vista",NA,2017-02,NA
"Tangonadas_1014 State St, Santa Barbara",Tangonadas,"1014 State St, Santa Barbara",NA,2017-02,NA
"The Little Door_129 E. Anapamu St, Santa Barbara",The Little Door,"129 E. Anapamu St, Santa Barbara",NA,2017-02,2019-07
"The Patio Café_3007 De la Vina St, Santa Barbara",The Patio Café,"3007 De la Vina St, Santa Barbara",NA,2017-02,NA
"HiWi Tropical Fusion_6555 Pardall Rd, Isla Vista",HiWi Tropical Fusion,"6555 Pardall Rd, Isla Vista",NA,2017-01,2018-08
"Bar 29_1134 Chapala St, Santa Barbara",Bar 29,"1134 Chapala St, Santa Barbara",NA,2017-01,2019-10
"18 East_18 E. Cota St, Santa Barbara",18 East,"18 E. Cota St, Santa Barbara",NA,2016-12,2017-03
"Somerset_7 E.Anapamu St, Santa Barbara",Somerset,"7 E.Anapamu St, Santa Barbara",$20+,2016-12,2017-10
"Blaze Pizza - Santa Barbara_3925 State St, Santa Barbara",Blaze Pizza - Santa Barbara,"3925 State St, Santa Barbara",< $10,2016-12,NA
"Mesa Burger_315 Meigs Rd, Santa Barbara",Mesa Burger,"315 Meigs Rd, Santa Barbara",NA,2016-12,NA
"Nikka Ramen_5701 Calle Real, Goleta",Nikka Ramen,"5701 Calle Real, Goleta",NA,2016-11,NA
"Red Kettle Coffee_2275 Ortega Hill Rd, Summerland",Red Kettle Coffee,"2275 Ortega Hill Rd, Summerland",NA,2016-11,NA
"Buena Onda - Haley_724 East Haley Street, Santa Barbara",Buena Onda - Haley,"724 East Haley Street, Santa Barbara",NA,2016-11,NA
"The Honey B @ Antioch_602 Anacapa St, Santa Barbara",The Honey B @ Antioch,"602 Anacapa St, Santa Barbara",NA,2016-10,2019-09
"Phoevermore_1017 Casitas Pass Rd, Carpinteria",Phoevermore,"1017 Casitas Pass Rd, Carpinteria",NA,2016-10,NA
"Dickey’s Barbecue Pit_7060 Hollister Ave, Goleta",Dickey’s Barbecue Pit,"7060 Hollister Ave, Goleta",NA,2016-09,2017-12
"Loquita_202 State St, Santa Barbara",Loquita,"202 State St, Santa Barbara",NA,2016-09,NA
"Pickles & Swiss - Goleta_7060 Hollister Ave, Goleta",Pickles & Swiss - Goleta,"7060 Hollister Ave, Goleta",NA,2016-09,NA
"Choppa Poke - Goleta_7000 Hollister Ave, Goleta",Choppa Poke - Goleta,"7000 Hollister Ave, Goleta",NA,2016-09,NA
"Vons - Mesa_2010 Cliff Dr, Santa Barbara",Vons - Mesa,"2010 Cliff Dr, Santa Barbara",NA,2016-08,NA
"Pizza Man Dan's_699 Linden Ave, Carpinteria",Pizza Man Dan's,"699 Linden Ave, Carpinteria",NA,2016-08,NA
"Sprouts Farmers Market_175 N. Fairview Ave, Goleta",Sprouts Farmers Market,"175 N. Fairview Ave, Goleta",NA,2016-08,NA
"Pieology_7000 Hollister Ave, Goleta",Pieology,"7000 Hollister Ave, Goleta",NA,2016-08,NA
"Nona's Deli_415 E. De la Guerra St, Santa Barbara",Nona's Deli,"415 E. De la Guerra St, Santa Barbara",NA,2016-07,NA
"Helena Avenue Bakery_131 Anacapa St, Santa Barbara",Helena Avenue Bakery,"131 Anacapa St, Santa Barbara",NA,2016-07,NA
"Convivo at Santa Barbara Inn_901 East Cabrillo Blvd, Santa Barbara",Convivo at Santa Barbara Inn,"901 East Cabrillo Blvd, Santa Barbara",NA,2016-07,NA
"American Ale 02_214 State St, Santa Barbara",American Ale 02,"214 State St, Santa Barbara",NA,2016-07,2017-02
"Corazón Cocina - SB Public Market_38 W. Victoria St, Santa Barbara",Corazón Cocina - SB Public Market,"38 W. Victoria St, Santa Barbara",NA,2016-07,NA
"Drunken Crab_416 State St, Santa Barbara",Drunken Crab,"416 State St, Santa Barbara",NA,2016-07,NA
"Viva Santa Barbara_1114 State St, Santa Barbara",Viva Santa Barbara,"1114 State St, Santa Barbara",NA,2016-07,NA
"Angel Oak at the Bacara Resort_8301 Hollister Ave, Goleta",Angel Oak at the Bacara Resort,"8301 Hollister Ave, Goleta",NA,2016-06,NA
"Rusty's Pizza - Waterfront_111 State St, Santa Barbara",Rusty's Pizza - Waterfront,"111 State St, Santa Barbara",$10 - $20,2016-06,NA
"Nugget - Carpinteria_5096 Carpinteria Ave, Carpinteria",Nugget - Carpinteria,"5096 Carpinteria Ave, Carpinteria",NA,2016-06,2017-11
"Dunkin Donuts_3771 State St, Santa Barbara",Dunkin Donuts,"3771 State St, Santa Barbara",NA,2016-06,NA
"Zizzo’s Coffeehouse & Brew Pub_7060 Hollister Ave, Goleta",Zizzo’s Coffeehouse & Brew Pub,"7060 Hollister Ave, Goleta",NA,2016-05,2017-05
"Little Kitchen_17 West Ortega St, Santa Barbara",Little Kitchen,"17 West Ortega St, Santa Barbara",NA,2016-05,NA
"Le Petit Bistrot_532 State St, Santa Barbara",Le Petit Bistrot,"532 State St, Santa Barbara",$20+,2016-05,2016-06
"Smart & Final Extra! - Upper State_3943 State St, Santa Barbara",Smart & Final Extra! - Upper State,"3943 State St, Santa Barbara",NA,2016-05,NA
"Phamous Café_7127 Hollister Ave, Goleta",Phamous Café,"7127 Hollister Ave, Goleta",NA,2016-05,NA
"Nook_120 Santa Barbara St, Santa Barbara",Nook,"120 Santa Barbara St, Santa Barbara",NA,2016-05,NA
"Ike's Love & sandwiches_6530 Seville Rd, Isla Vista",Ike's Love & sandwiches,"6530 Seville Rd, Isla Vista",NA,2016-04,2019-04
"Jane - Goleta_6920 Marketplace Dr, Goleta",Jane - Goleta,"6920 Marketplace Dr, Goleta",NA,2016-04,NA
"Oveja Blanca Restaurante_30 E. Ortega St, Santa Barbara",Oveja Blanca Restaurante,"30 E. Ortega St, Santa Barbara",NA,2016-04,2017-09
"Fire & Ice Cafe_971 Embarcadero del Mar, Isla Vista",Fire & Ice Cafe,"971 Embarcadero del Mar, Isla Vista",NA,2016-03,NA
"Hana Kitchen - Downtown_5 W. Haley St, Santa Barbara",Hana Kitchen - Downtown,"5 W. Haley St, Santa Barbara",NA,2016-03,NA
"Smart & Final Extra! - Carpinteria_850 Linden Ave, Carpinteria",Smart & Final Extra! - Carpinteria,"850 Linden Ave, Carpinteria",NA,2016-03,NA
"Santa Ynez Burrito - Isla Vista_956 Embarcadero Del Norte, Isla Vista",Santa Ynez Burrito - Isla Vista,"956 Embarcadero Del Norte, Isla Vista",NA,2016-03,2017-03
"805 Kabob_6578 Trigo Rd, Isla Vista",805 Kabob,"6578 Trigo Rd, Isla Vista",NA,2016-03,2018-01
Rusty's Pizza - Calle Real_5934 Calle Real in Goleta,Rusty's Pizza - Calle Real,5934 Calle Real in Goleta,NA,2016-02,NA
"Pascucci - Goleta_6920 Marketplace Dr, Goleta",Pascucci - Goleta,"6920 Marketplace Dr, Goleta",NA,2016-02,2018-01
"La Bella Rosa Bakery - Goleta_7127 Hollister Ave.#18, Goleta",La Bella Rosa Bakery - Goleta,"7127 Hollister Ave.#18, Goleta",NA,2016-02,2019-03
"The French Press - Goleta_250 Storke Rd, Goleta",The French Press - Goleta,"250 Storke Rd, Goleta",NA,2016-02,NA
"Yankee Noodle_214 State St, Santa Barbara",Yankee Noodle,"214 State St, Santa Barbara",NA,2016-02,2016-07
"Green Table_113 W. De la Guerra St, Santa Barbara",Green Table,"113 W. De la Guerra St, Santa Barbara",NA,2016-02,NA
